"","V1","V2","V3","V4","number","cl","cll"
"1",121.026408,121.1199904,30.758019,30.662036,0,121.0731992,30.7100275
"2",121.026408,121.1199904,30.854002,30.758019,1,121.0731992,30.8060105
"3",121.026408,121.1199904,30.949985,30.854002,53,121.0731992,30.9019935
"4",121.026408,121.1199904,31.045968,30.949985,27,121.0731992,30.9979765
"5",121.026408,121.1199904,31.141951,31.045968,492,121.0731992,31.0939595
"6",121.026408,121.1199904,31.237934,31.141951,415,121.0731992,31.1899425
"7",121.026408,121.1199904,31.333917,31.237934,6,121.0731992,31.2859255
"8",121.026408,121.1199904,31.4299,31.333917,0,121.0731992,31.3819085
"9",121.026408,121.1199904,31.525883,31.4299,0,121.0731992,31.4778915
"10",121.026408,121.1199904,31.621866,31.525883,0,121.0731992,31.5738745
"11",121.1199904,121.2135728,30.758019,30.662036,0,121.1667816,30.7100275
"12",121.1199904,121.2135728,30.854002,30.758019,15,121.1667816,30.8060105
"13",121.1199904,121.2135728,30.949985,30.854002,175,121.1667816,30.9019935
"14",121.1199904,121.2135728,31.045968,30.949985,411,121.1667816,30.9979765
"15",121.1199904,121.2135728,31.141951,31.045968,1114,121.1667816,31.0939595
"16",121.1199904,121.2135728,31.237934,31.141951,738,121.1667816,31.1899425
"17",121.1199904,121.2135728,31.333917,31.237934,524,121.1667816,31.2859255
"18",121.1199904,121.2135728,31.4299,31.333917,86,121.1667816,31.3819085
"19",121.1199904,121.2135728,31.525883,31.4299,2,121.1667816,31.4778915
"20",121.1199904,121.2135728,31.621866,31.525883,0,121.1667816,31.5738745
"21",121.2135728,121.3071552,30.758019,30.662036,4,121.260364,30.7100275
"22",121.2135728,121.3071552,30.854002,30.758019,16,121.260364,30.8060105
"23",121.2135728,121.3071552,30.949985,30.854002,32,121.260364,30.9019935
"24",121.2135728,121.3071552,31.045968,30.949985,2022,121.260364,30.9979765
"25",121.2135728,121.3071552,31.141951,31.045968,1616,121.260364,31.0939595
"26",121.2135728,121.3071552,31.237934,31.141951,704,121.260364,31.1899425
"27",121.2135728,121.3071552,31.333917,31.237934,695,121.260364,31.2859255
"28",121.2135728,121.3071552,31.4299,31.333917,1642,121.260364,31.3819085
"29",121.2135728,121.3071552,31.525883,31.4299,23,121.260364,31.4778915
"30",121.2135728,121.3071552,31.621866,31.525883,0,121.260364,31.5738745
"31",121.3071552,121.4007376,30.758019,30.662036,998,121.3539464,30.7100275
"32",121.3071552,121.4007376,30.854002,30.758019,108,121.3539464,30.8060105
"33",121.3071552,121.4007376,30.949985,30.854002,107,121.3539464,30.9019935
"34",121.3071552,121.4007376,31.045968,30.949985,199,121.3539464,30.9979765
"35",121.3071552,121.4007376,31.141951,31.045968,3198,121.3539464,31.0939595
"36",121.3071552,121.4007376,31.237934,31.141951,7310,121.3539464,31.1899425
"37",121.3071552,121.4007376,31.333917,31.237934,4645,121.3539464,31.2859255
"38",121.3071552,121.4007376,31.4299,31.333917,849,121.3539464,31.3819085
"39",121.3071552,121.4007376,31.525883,31.4299,27,121.3539464,31.4778915
"40",121.3071552,121.4007376,31.621866,31.525883,0,121.3539464,31.5738745
"41",121.4007376,121.49432,30.758019,30.662036,0,121.4475288,30.7100275
"42",121.4007376,121.49432,30.854002,30.758019,12,121.4475288,30.8060105
"43",121.4007376,121.49432,30.949985,30.854002,1217,121.4475288,30.9019935
